DATE,MORTGAGE30US
2014-01-01,4.4320000000000000
2014-02-01,4.3025000000000000
2014-03-01,4.3425000000000000
2014-04-01,4.3375000000000000
2014-05-01,4.1920000000000000
2014-06-01,4.1625000000000000
2014-07-01,4.1300000000000000
2014-08-01,4.1150000000000000
2014-09-01,4.1625000000000000
2014-10-01,4.0360000000000000
2014-11-01,3.9975000000000000
2014-12-01,3.8640000000000000
2015-01-01,3.6700000000000000
2015-02-01,3.7100000000000000
2015-03-01,3.7700000000000000
2015-04-01,3.6720000000000000
2015-05-01,3.8400000000000000
2015-06-01,3.9825000000000000
2015-07-01,4.0460000000000000
2015-08-01,3.9050000000000000
2015-09-01,3.8900000000000000
2015-10-01,3.7960000000000000
2015-11-01,3.9425000000000000
2015-12-01,3.9640000000000000
2016-01-01,3.8725000000000000
